"ycoord"	"tumor"	"patient"
14	21	"tumor"
4	21	"tumor"
6	21	"non"
10	21	"non"
19	22	"tumor"
22	22	"non"
21	22	"non"
10	22	"non"
11	22	"non"
16	22	"non"
20	22	"non"
31	22	"non"
29	22	"non"
15	22	"tumor"
18	22	"tumor"
17	22	"tumor"
27	22	"tumor"
6	22	"tumor"
12	22	"tumor"
5	22	"tumor"
28	22	"non"
14	22	"tumor"
26	22	"tumor"
8	22	"tumor"
7	22	"tumor"
9	22	"non"
13	22	"non"
25	22	"tumor"
23	22	"non"
30	23	"non"
32	23	"tumor"
21	23	"non"
22	23	"tumor"
31	23	"tumor"
29	23	"tumor"
18	23	"non"
10	23	"non"
11	23	"tumor"
28	23	"tumor"
20	23	"non"
8	23	"non"
15	23	"tumor"
17	23	"non"
16	23	"tumor"
24	23	"tumor"
26	23	"non"
27	23	"tumor"
14	23	"non"
13	23	"tumor"
23	23	"tumor"
7	23	"non"
9	23	"non"
6	23	"non"
12	23	"tumor"
25	23	"tumor"
19	23	"tumor"
11	24	"tumor"
10	24	"tumor"
32	24	"tumor"
27	24	"tumor"
31	24	"tumor"
22	24	"tumor"
18	24	"non"
26	24	"tumor"
29	24	"tumor"
30	24	"tumor"
28	24	"tumor"
21	24	"tumor"
19	24	"non"
16	24	"tumor"
20	24	"non"
8	24	"non"
9	24	"tumor"
17	24	"non"
15	24	"tumor"
25	24	"tumor"
23	24	"tumor"
24	24	"tumor"
12	24	"tumor"
13	24	"tumor"
14	24	"non"
11	25	"tumor"
32	25	"tumor"
10	25	"tumor"
15	25	"tumor"
29	25	"tumor"
21	25	"tumor"
22	25	"tumor"
31	25	"non"
16	25	"tumor"
27	25	"non"
28	25	"tumor"
20	25	"non"
9	25	"tumor"
26	25	"tumor"
17	25	"tumor"
19	25	"non"
30	25	"tumor"
18	25	"non"
23	25	"tumor"
25	25	"tumor"
14	25	"tumor"
13	25	"tumor"
30	26	"tumor"
32	26	"tumor"
21	26	"non"
28	26	"tumor"
19	26	"non"
10	26	"tumor"
22	26	"non"
29	26	"tumor"
31	26	"non"
16	26	"non"
9	26	"tumor"
18	26	"non"
27	26	"tumor"
20	26	"tumor"
24	26	"tumor"
15	26	"non"
23	26	"tumor"
26	26	"tumor"
11	26	"tumor"
17	26	"tumor"
25	26	"tumor"
12	26	"tumor"
13	26	"tumor"
14	26	"tumor"
30	27	"tumor"
22	27	"tumor"
18	27	"tumor"
21	27	"tumor"
32	27	"non"
10	27	"tumor"
11	27	"tumor"
15	27	"tumor"
31	27	"tumor"
19	27	"non"
20	27	"non"
26	27	"tumor"
27	27	"tumor"
28	27	"tumor"
16	27	"tumor"
29	27	"tumor"
17	27	"non"
25	27	"tumor"
12	27	"tumor"
13	27	"tumor"
14	27	"tumor"
24	27	"tumor"
23	27	"tumor"
32	28	"tumor"
26	28	"tumor"
10	28	"tumor"
11	28	"tumor"
22	28	"tumor"
31	28	"tumor"
30	28	"non"
29	28	"tumor"
21	28	"tumor"
16	28	"tumor"
19	28	"tumor"
27	28	"tumor"
18	28	"tumor"
24	28	"tumor"
28	28	"tumor"
25	28	"tumor"
20	28	"tumor"
17	28	"non"
23	28	"tumor"
13	28	"tumor"
12	28	"tumor"
15	28	"non"
14	28	"non"
32	29	"non"
22	29	"tumor"
27	29	"tumor"
31	29	"tumor"
29	29	"tumor"
30	29	"tumor"
19	29	"non"
28	29	"tumor"
18	29	"non"
26	29	"tumor"
25	29	"tumor"
16	29	"tumor"
20	29	"tumor"
17	29	"tumor"
13	29	"tumor"
15	29	"tumor"
23	29	"tumor"
24	29	"tumor"
14	29	"tumor"
21	29	"tumor"
12	29	"tumor"
32	30	"tumor"
21	30	"tumor"
22	30	"tumor"
28	30	"tumor"
30	30	"non"
19	30	"non"
26	30	"tumor"
27	30	"non"
31	30	"tumor"
20	30	"tumor"
15	30	"tumor"
29	30	"tumor"
16	30	"tumor"
13	30	"tumor"
18	30	"tumor"
25	30	"non"
24	30	"tumor"
14	30	"tumor"
17	30	"non"
23	30	"tumor"
19	31	"non"
21	31	"non"
27	31	"tumor"
30	31	"non"
29	31	"tumor"
22	31	"tumor"
28	31	"tumor"
18	31	"tumor"
20	31	"non"
23	31	"tumor"
26	31	"tumor"
16	31	"tumor"
17	31	"tumor"
24	31	"tumor"
25	31	"tumor"
15	31	"tumor"
22	32	"non"
19	32	"non"
27	32	"non"
18	32	"tumor"
26	32	"non"
16	32	"tumor"
20	32	"non"
29	32	"tumor"
17	32	"tumor"
28	32	"non"
23	32	"non"
24	32	"non"
25	32	"non"
19	33	"tumor"
27	33	"tumor"
28	33	"tumor"
22	33	"non"
25	33	"non"
26	33	"tumor"
21	33	"non"
20	33	"tumor"
24	33	"tumor"
23	33	"tumor"
22	34	"tumor"
21	34	"tumor"
26	34	"tumor"
24	34	"tumor"
25	34	"tumor"
23	34	"tumor"
